Scenario,TraceFile,Algorithm,PageTableType,PageSizeKB,MemorySizeKB,TotalAccesses,PageFaults,DirtyPages,ExecutionTimeSeconds
1,./input/matriz.log,lfu,invertida,4,2048,1000000,93528,25702,0.361185
1,./input/matriz.log,lfu,invertida,4,4096,1000000,31396,12995,0.275010
1,./input/matriz.log,lfu,invertida,4,8192,1000000,4009,815,0.150680
1,./input/matriz.log,lfu,invertida,4,16384,1000000,2543,0,0.147948
1,./input/compressor.log,lru,densa,4,128,1000000,2133,702,0.141083
1,./input/compressor.log,lru,densa,4,256,1000000,1264,420,0.144579
1,./input/compressor.log,lru,densa,4,512,1000000,771,224,0.116463
1,./input/compressor.log,lru,densa,4,1024,1000000,397,48,0.128212
1,./input/compressor.log,lru,densa,4,2048,1000000,317,0,0.136940
1,./input/compressor.log,lru,densa,4,4096,1000000,317,0,0.132682
1,./input/compressor.log,lru,densa,4,8192,1000000,317,0,0.137708
1,./input/compressor.log,lru,densa,4,16384,1000000,317,0,0.115919
1,./input/compressor.log,lru,hier2,4,128,1000000,2133,702,0.120611
1,./input/compressor.log,lru,hier2,4,256,1000000,1264,420,0.112929
1,./input/compressor.log,lru,hier2,4,512,1000000,771,224,0.155985
1,./input/compressor.log,lru,hier2,4,1024,1000000,397,48,0.130184
1,./input/compressor.log,lru,hier2,4,2048,1000000,317,0,0.146294
1,./input/compressor.log,lru,hier2,4,4096,1000000,317,0,0.132308
1,./input/compressor.log,lru,hier2,4,8192,1000000,317,0,0.114114
1,./input/compressor.log,lru,hier2,4,16384,1000000,317,0,0.117431
1,./input/compressor.log,lru,hier3,4,128,1000000,2133,702,0.135118
1,./input/compressor.log,lru,hier3,4,256,1000000,1264,420,0.110744
1,./input/compressor.log,lru,hier3,4,512,1000000,771,224,0.110706
1,./input/compressor.log,lru,hier3,4,1024,1000000,397,48,0.112420
1,./input/compressor.log,lru,hier3,4,2048,1000000,317,0,0.113910
1,./input/compressor.log,lru,hier3,4,4096,1000000,317,0,0.117343
1,./input/compressor.log,lru,hier3,4,8192,1000000,317,0,0.132761
1,./input/compressor.log,lru,hier3,4,16384,1000000,317,0,0.119892
1,./input/compressor.log,lru,invertida,4,128,1000000,2133,702,0.208255
1,./input/compressor.log,lru,invertida,4,256,1000000,1264,420,0.143786
1,./input/compressor.log,lru,invertida,4,512,1000000,771,224,0.131414
1,./input/compressor.log,lru,invertida,4,1024,1000000,397,48,0.126608
1,./input/compressor.log,lru,invertida,4,2048,1000000,317,0,0.128313
1,./input/compressor.log,lru,invertida,4,4096,1000000,317,0,0.140497
1,./input/compressor.log,lru,invertida,4,8192,1000000,317,0,0.139056
1,./input/compressor.log,lru,invertida,4,16384,1000000,317,0,0.127745
1,./input/compressor.log,fifo,densa,4,128,1000000,2497,851,0.118421
1,./input/compressor.log,fifo,densa,4,256,1000000,1467,514,0.121123
1,./input/compressor.log,fifo,densa,4,512,1000000,891,305,0.129951
1,./input/compressor.log,fifo,densa,4,1024,1000000,511,125,0.140924
1,./input/compressor.log,fifo,densa,4,2048,1000000,317,0,0.124414
1,./input/compressor.log,fifo,densa,4,4096,1000000,317,0,0.116914
1,./input/compressor.log,fifo,densa,4,8192,1000000,317,0,0.122850
1,./input/compressor.log,fifo,densa,4,16384,1000000,317,0,0.113366
1,./input/compressor.log,fifo,hier2,4,128,1000000,2497,851,0.111857
1,./input/compressor.log,fifo,hier2,4,256,1000000,1467,514,0.119338
1,./input/compressor.log,fifo,hier2,4,512,1000000,891,305,0.113892
1,./input/compressor.log,fifo,hier2,4,1024,1000000,511,125,0.116052
1,./input/compressor.log,fifo,hier2,4,2048,1000000,317,0,0.122682
1,./input/compressor.log,fifo,hier2,4,4096,1000000,317,0,0.129626
1,./input/compressor.log,fifo,hier2,4,8192,1000000,317,0,0.113297
1,./input/compressor.log,fifo,hier2,4,16384,1000000,317,0,0.120464
1,./input/compressor.log,fifo,hier3,4,128,1000000,2497,851,0.119948
1,./input/compressor.log,fifo,hier3,4,256,1000000,1467,514,0.123496
1,./input/compressor.log,fifo,hier3,4,512,1000000,891,305,0.115878
1,./input/compressor.log,fifo,hier3,4,1024,1000000,511,125,0.113566
1,./input/compressor.log,fifo,hier3,4,2048,1000000,317,0,0.112856
1,./input/compressor.log,fifo,hier3,4,4096,1000000,317,0,0.111028
1,./input/compressor.log,fifo,hier3,4,8192,1000000,317,0,0.112047
1,./input/compressor.log,fifo,hier3,4,16384,1000000,317,0,0.119814
1,./input/compressor.log,fifo,invertida,4,128,1000000,2497,851,0.127662
1,./input/compressor.log,fifo,invertida,4,256,1000000,1467,514,0.131890
1,./input/compressor.log,fifo,invertida,4,512,1000000,891,305,0.129274
1,./input/compressor.log,fifo,invertida,4,1024,1000000,511,125,0.134218
1,./input/compressor.log,fifo,invertida,4,2048,1000000,317,0,0.124253
1,./input/compressor.log,fifo,invertida,4,4096,1000000,317,0,0.131485
1,./input/compressor.log,fifo,invertida,4,8192,1000000,317,0,0.126301
1,./input/compressor.log,fifo,invertida,4,16384,1000000,317,0,0.142583
